CompoundName,ModelID,EC50,LowerAsymptote,UpperAsymptote,Slope,MinimumDose,MaximumDose,DoseUnit
CIL55,ACH-000851,8.679225808420343,0.06477593374739529,1.0099998653579871,-10.00858004993698,3e-4,10,uM
CIL55,ACH-000852,0.1579226013435167,1.01,1.01,-0.002590258396028864,3e-4,5,uM
CIL55,ACH-000853,7.05427642429111,0.5466590082491792,1.01,-2.941304052965764,3e-4,10,uM
CIL55,ACH-000856,5.47772399918007,0.46685309980511336,1.0099999998479716,-14.689040868898427,3e-4,10,uM
CIL55,ACH-000859,7.343908907459944,0,0.9261861141322872,-4.101447657453963,3e-4,10,uM
CIL55,ACH-000860,0.006600990552356767,0.891231620221089,1.009999998914132,-28.737389664927917,3e-4,10,uM
CIL55,ACH-000874,4.660325080624178,0,0.9876662238032434,-3.113629765468097,3e-4,10,uM
CIL55,ACH-000878,10.633190712552858,0.25533210333010603,0.9249437152870562,-4.466684134099699,3e-4,10,uM
CIL55,ACH-000880,21.177718740971272,0,0.99535779552428,-2.2268414268453216,3e-4,10,uM
CIL55,ACH-000884,18.587824500495227,0,0.9965063190956136,-1.3820893717243403,3e-4,10,uM
CIL55,ACH-000886,16.518897032184892,0,1.01,-1.4734610998883493,3e-4,10,uM
CIL55,ACH-000889,0.003550303545146683,0.8683698036034722,0.9660395351219008,-24.7165579777197,3e-4,10,uM
CIL55,ACH-000890,9.076058637764056,0.03001303248401535,1.0099999999808509,-2.756993761930679,3e-4,10,uM
CIL55,ACH-000898,254.72659050849418,0,1.01,-0.4684778790602827,3e-4,10,uM
CIL55,ACH-000902,9.502505857573807,0,0.935580799604262,-2.62978280722205,3e-4,10,uM
CIL55,ACH-000905,10.920019397388002,0,0.8651956254810765,-1.264405605097228,3e-4,10,uM
CIL55,ACH-000906,7.225419401537661,0.001883216184048101,1.0099999967824984,-8.598448122901365,3e-4,10,uM
CIL55,ACH-000909,7.922117009177959,0.003858023911484821,0.9700817640736298,-5.046029974751326,3e-4,10,uM
CIL55,ACH-000911,6.201365402145619,0.3621637706373475,1.0004691940104689,-6.571373562718476,3e-4,5,uM
CIL55,ACH-000914,7.195367730468145,0.033229165728931816,1.01,-8.36963950236551,3e-4,10,uM
CIL55,ACH-000915,7.007797969308736,0,0.998213739108461,-4.991170217130527,3e-4,10,uM
CIL55,ACH-000917,9.898887771314527,0.3348041892311894,1.0099999995431734,-9.368548126976512,3e-4,10,uM
